"IDG060. Live births by marital status and age of mother"

"Year";"Marital status of mother";"Total";"under 20";"20-24";"25-29";"30-34";"35-39";"40-44";"45+";"not specified"
"1979";"Total";34683;3335;14600;9454;4547;2162;562;23;...
"1979";"marital births";30430;2546;13271;8556;3907;1711;424;15;...
"1979";"extra-marital births";4253;789;1329;898;640;451;138;8;...
"1980";"Total";35534;3560;15135;9709;4648;1942;523;17;...
"1980";"marital births";31100;2719;13743;8737;3970;1523;395;13;...
"1980";"extra-marital births";4434;841;1392;972;678;419;128;4;...
"1981";"Total";35732;3406;15155;9824;4990;1819;507;30;1
"1981";"marital births";31134;2591;13677;8819;4268;1387;370;22;...
"1981";"extra-marital births";4598;815;1478;1005;722;432;137;8;1
"1982";"Total";37477;3350;16028;10339;5229;1956;553;22;...
"1982";"marital births";32533;2491;14455;9217;4439;1538;381;12;...
"1982";"extra-marital births";4944;859;1573;1122;790;418;172;10;...
"1983";"Total";40572;3322;16891;11919;5840;2038;537;25;...
"1983";"marital births";35093;2439;15091;10636;4935;1587;390;15;...
"1983";"extra-marital births";5479;883;1800;1283;905;451;147;10;...
"1984";"Total";40847;3484;16774;11953;5886;2203;503;44;...
"1984";"marital births";35002;2598;14862;10564;4889;1704;365;20;...
"1984";"extra-marital births";5845;886;1912;1389;997;499;138;24;...
"1985";"Total";39751;3498;16153;11952;5610;2107;417;14;...
"1985";"marital births";34028;2638;14361;10459;4629;1636;293;12;...
"1985";"extra-marital births";5723;860;1792;1493;981;471;124;2;...
"1986";"Total";41960;3754;16492;12572;6147;2491;479;25;...
"1986";"marital births";35649;2776;14591;11014;5002;1923;327;16;...
"1986";"extra-marital births";6311;978;1901;1558;1145;568;152;9;...
"1987";"Total";42135;3820;15952;12842;6389;2648;456;28;...
"1987";"marital births";35612;2824;14147;11140;5243;1953;289;16;...
"1987";"extra-marital births";6523;996;1805;1702;1146;695;167;12;...
"1988";"Total";41275;3939;15806;12186;6269;2525;523;27;...
"1988";"marital births";34870;2992;13935;10600;5118;1857;354;14;...
"1988";"extra-marital births";6405;947;1871;1586;1151;668;169;13;...
"1989";"Total";38922;3991;15043;11229;5947;2229;454;27;2
"1989";"marital births";32740;3087;13166;9715;4820;1628;306;17;1
"1989";"extra-marital births";6182;904;1877;1514;1127;601;148;10;1
"1990";"Total";37918;4436;14724;10350;5787;2175;426;20;...
"1990";"marital births";31517;3381;12747;8855;4669;1569;287;9;...
"1990";"extra-marital births";6401;1055;1977;1495;1118;606;139;11;...
"1991";"Total";34633;4406;13604;9057;5125;1987;438;16;...
"1991";"marital births";28265;3299;11570;7611;4039;1447;288;11;...
"1991";"extra-marital births";6368;1107;2034;1446;1086;540;150;5;...
"1992";"Total";31569;4059;12726;7890;4684;1806;383;21;...
"1992";"marital births";25387;2940;10770;6490;3640;1289;248;10;...
"1992";"extra-marital births";6182;1119;1956;1400;1044;517;135;11;...
"1993";"Total";26759;3621;10780;6727;3790;1470;347;18;6
"1993";"marital births";20608;2462;8679;5372;2846;1021;218;9;1
"1993";"extra-marital births";6151;1159;2101;1355;944;449;129;9;5
"1994";"Total";24256;2770;9469;6561;3571;1500;346;20;19
"1994";"marital births";17847;1503;7214;5182;2635;1072;228;13;...
"1994";"extra-marital births";6409;1267;2255;1379;936;428;118;7;19
"1995";"Total";21595;2416;8314;5995;3085;1443;293;23;26
"1995";"marital births";15143;1189;5904;4565;2270;1005;195;15;...
"1995";"extra-marital births";6452;1227;2410;1430;815;438;98;8;26
"1996";"Total";19782;2080;7377;5681;2917;1399;291;16;21
"1996";"marital births";13242;900;4879;4199;2125;935;192;12;...
"1996";"extra-marital births";6540;1180;2498;1482;792;464;99;4;21
"1997";"Total";18830;1748;6735;5557;2943;1432;373;20;22
"1997";"marital births";12277;719;4237;4039;2097;943;229;13;...
"1997";"extra-marital births";6553;1029;2498;1518;846;489;144;7;22
"1998";"Total";18410;1576;6379;5627;3031;1408;363;17;9
"1998";"marital births";11587;570;3811;3947;2120;902;225;11;1
"1998";"extra-marital births";6823;1006;2568;1680;911;506;138;6;8
"1999";"Total";19396;1629;6376;6200;3250;1553;364;17;7
"1999";"marital births";11820;523;3540;4224;2275;1029;220;9;...
"1999";"extra-marital births";7576;1106;2836;1976;975;524;144;8;7
"2000";"Total";20302;2115;6465;6321;3454;1579;349;16;3
"2000";"marital births";12108;683;3486;4256;2416;1049;207;11;...
"2000";"extra-marital births";8194;1432;2979;2065;1038;530;142;5;3
"2001";"Total";19726;2002;6168;5997;3580;1579;381;13;6
"2001";"marital births";11423;581;3126;3957;2471;1044;234;10;...
"2001";"extra-marital births";8303;1421;3042;2040;1109;535;147;3;6
"2002";"Total";20127;1934;6043;6269;3878;1585;390;22;6
"2002";"marital births";11459;524;3027;3981;2597;1057;256;17;...
"2002";"extra-marital births";8668;1410;3016;2288;1281;528;134;5;6
"2003";"Total";21151;2038;6301;6477;4246;1640;419;17;13
"2003";"marital births";11785;530;2969;4050;2879;1101;244;12;...
"2003";"extra-marital births";9366;1508;3332;2427;1367;539;175;5;13
"2004";"Total";20551;1908;6134;6134;4107;1797;450;17;4
"2004";"marital births";11239;483;2844;3789;2683;1164;266;10;...
"2004";"extra-marital births";9312;1425;3290;2345;1424;633;184;7;4
"2005";"Total";21879;1897;6150;6716;4657;2013;416;24;6
"2005";"marital births";12093;459;2811;4223;3016;1312;253;19;...
"2005";"extra-marital births";9786;1438;3339;2493;1641;701;163;5;6
"2006";"Total";22871;2029;6438;6869;4893;2148;465;25;4
"2006";"marital births";12855;504;2950;4338;3321;1433;294;15;...
"2006";"extra-marital births";10016;1525;3488;2531;1572;715;171;10;4
"2007";"Total";23958;2052;6556;7355;5027;2431;502;26;9
"2007";"marital births";13601;521;3074;4678;3403;1578;333;14;...
"2007";"extra-marital births";10357;1531;3482;2677;1624;853;169;12;9
"2008";"Total";24397;1962;6507;7533;5298;2556;516;23;2
"2008";"marital births";13853;432;2970;4871;3536;1700;333;11;...
"2008";"extra-marital births";10544;1530;3537;2662;1762;856;183;12;2
"2009";"Total";22044;1548;5425;7085;4830;2546;570;27;13
"2009";"marital births";12452;292;2410;4487;3249;1650;348;16;...
"2009";"extra-marital births";9592;1256;3015;2598;1581;896;222;11;13
"2010";"Total";19781;1152;4649;6461;4611;2309;556;27;16
"2010";"marital births";11004;186;1908;4072;3006;1463;355;14;...
"2010";"extra-marital births";8777;966;2741;2389;1605;846;201;13;16
"2011";"Total";18825;1121;4156;6150;4518;2317;522;18;23
"2011";"marital births";10435;200;1656;3819;2963;1475;314;8;...
"2011";"extra-marital births";8390;921;2500;2331;1555;842;208;10;23
"2012";"Total";19897;1043;4181;6721;4800;2567;550;22;13
"2012";"marital births";10946;172;1565;4029;3182;1635;353;10;...
"2012";"extra-marital births";8951;871;2616;2692;1618;932;197;12;13
"2013";"Total";20596;935;4058;6967;5188;2741;669;29;9
"2013";"marital births";11406;159;1438;4206;3405;1774;405;19;...
"2013";"extra-marital births";9190;776;2620;2761;1783;967;264;10;9
"2014";"Total";21746;866;3990;7359;5751;3048;705;26;1
"2014";"marital births";12184;141;1411;4327;3856;2020;417;12;...
"2014";"extra-marital births";9562;725;2579;3032;1895;1028;288;14;1
"2015";"Total";21979;765;3720;7196;6259;3204;782;47;6
"2015";"marital births";12857;144;1370;4386;4233;2181;513;30;...
"2015";"extra-marital births";9122;621;2350;2810;2026;1023;269;17;6
"2016";"Total";21968;650;3369;7249;6494;3324;826;48;8
"2016";"marital births";12978;117;1248;4356;4485;2191;545;36;...
"2016";"extra-marital births";8990;533;2121;2893;2009;1133;281;12;8
"2017";"Total";20828;628;2967;6699;6269;3320;895;46;4
"2017";"marital births";12420;126;1117;4056;4274;2210;612;25;...
"2017";"extra-marital births";8408;502;1850;2643;1995;1110;283;21;4
"2018";"Total";19314;522;2429;6110;6173;3199;825;54;2
"2018";"marital births";11693;90;962;3600;4288;2174;543;36;...
"2018";"extra-marital births";7621;432;1467;2510;1885;1025;282;18;2
