"IDG080. Live births by age of parents"

"Year";"Age of father";"Total";"age of mother under 20";"age of mother 20-24";"age of mother 25-29";"age of mother 30-34";"age of mother 35-39";"age of mother 40-44";"age of mother 45+";"age of mother not specified"
"2013";"age of father 30-34";5575;44;534;2248;2235;469;45;0;0
"2013";"age of father 35-39";3431;5;142;667;1374;1069;167;7;0
"2013";"age of father 40-44";1594;3;50;210;436;636;253;6;0
"2013";"age of father 45-49";509;1;13;59;134;201;93;8;0
"2013";"age of father 50+";284;0;6;31;87;97;59;4;0
"2013";"age of father not specified";943;153;280;213;144;108;33;3;9
"2014";"Total";21746;866;3990;7359;5751;3048;705;26;1
"2014";"age of father under 20";182;119;52;9;2;0;0;0;0
"2014";"age of father 20-24";2155;416;1262;387;72;15;3;0;0
"2014";"age of father 25-29";6002;148;1734;3267;686;147;20;0;0
"2014";"age of father 30-34";6259;30;525;2529;2562;554;59;0;0
"2014";"age of father 35-39";3736;9;142;656;1571;1219;136;3;0
"2014";"age of father 40-44";1711;8;38;220;465;701;272;7;0
"2014";"age of father 45-49";593;0;18;76;171;204;117;7;0
"2014";"age of father 50+";312;2;7;31;85;113;66;8;0
"2014";"age of father not specified";796;134;212;184;137;95;32;1;1
"2015";"Total";21979;765;3720;7196;6259;3204;782;47;6
"2015";"age of father under 20";176;125;39;8;3;1;0;0;0
"2015";"age of father 20-24";1968;311;1176;372;72;34;3;0;0
"2015";"age of father 25-29";5927;159;1635;3210;767;139;17;0;0
"2015";"age of father 30-34";6448;32;467;2470;2828;567;81;3;0
"2015";"age of father 35-39";3920;15;125;691;1672;1254;160;3;0
"2015";"age of father 40-44";1894;1;56;198;569;765;288;17;0
"2015";"age of father 45-49";613;4;7;67;152;229;139;15;0
"2015";"age of father 50+";285;1;5;28;75;113;56;7;0
"2015";"age of father not specified";748;117;210;152;121;102;38;2;6
"2016";"Total";21968;650;3369;7249;6494;3324;826;48;8
"2016";"age of father under 20";146;92;46;6;0;2;0;0;0
"2016";"age of father 20-24";1771;287;1061;349;53;18;3;0;0
"2016";"age of father 25-29";5830;126;1443;3274;796;167;23;1;0
"2016";"age of father 30-34";6576;30;430;2519;2949;565;79;4;0
"2016";"age of father 35-39";4076;7;115;666;1793;1331;157;7;0
"2016";"age of father 40-44";1892;3;46;198;535;784;314;12;0
"2016";"age of father 45-49";638;1;21;52;162;235;153;14;0
"2016";"age of father 50+";340;1;9;41;84;127;69;9;0
"2016";"age of father not specified";699;103;198;144;122;95;28;1;8
"2017";"Total";20828;628;2967;6699;6269;3320;895;46;4
"2017";"age of father under 20";125;95;25;3;0;2;0;0;0
"2017";"age of father 20-24";1498;252;890;287;52;13;3;1;0
"2017";"age of father 25-29";5340;136;1327;3031;695;137;14;0;0
"2017";"age of father 30-34";6423;38;433;2348;2952;567;81;4;0
"2017";"age of father 35-39";3971;10;95;657;1662;1348;196;3;0
"2017";"age of father 40-44";1847;4;31;159;542;766;334;11;0
"2017";"age of father 45-49";718;4;16;55;179;275;172;17;0
"2017";"age of father 50+";325;0;9;27;75;129;79;6;0
"2017";"age of father not specified";581;89;141;132;112;83;16;4;4
